iter	RMSE
0	0.2476351329
1	0.2463416151
2	0.2450430558
3	0.2437999071
4	0.242670376
5	0.2415689279
6	0.2404865729
7	0.2395059137
8	0.2385222865
9	0.2375575855
10	0.2366406765
11	0.2357904238
12	0.2350138783
13	0.2342489908
14	0.233511133
15	0.232785791
16	0.2320868538
17	0.2314150672
18	0.2307295636
19	0.2301536921
20	0.2295930101
21	0.229030596
22	0.2284967542
23	0.2279563865
24	0.2274694367
25	0.226982824
26	0.2265145017
27	0.2261635718
28	0.225715029
29	0.2252617428
30	0.2249088604
31	0.2245099722
32	0.2241508648
33	0.2237709486
34	0.223406405
35	0.2230436171
36	0.2227350381
37	0.2223972369
38	0.2220633734
39	0.2217588622
40	0.2214452034
41	0.2211834986
42	0.2209552021
43	0.2206672371
44	0.2203866816
45	0.2201135132
46	0.2199063862
47	0.219646384
48	0.2194184676
49	0.2191919948
50	0.2189447403
51	0.2187239983
52	0.2184942872
53	0.2183060308
54	0.2181150563
55	0.2179353442
56	0.2177402673
57	0.2175472801
58	0.2173720101
59	0.2171799167
60	0.2170127684
61	0.2168528554
62	0.216670071
63	0.2165023317
64	0.2163705699
65	0.2162430331
66	0.2161003404
67	0.2159542226
68	0.2157778258
69	0.215645309
70	0.2155023891
71	0.2153738883
72	0.2152455631
73	0.2151012012
74	0.2149814718
75	0.214881231
76	0.2147567837
77	0.2146378345
78	0.214508224
79	0.2143922963
80	0.2142853605
81	0.214183899
82	0.2140681294
83	0.2139652026
84	0.2138636058
85	0.2137573953
86	0.2136649846
87	0.2135819822
88	0.213472341
89	0.2133796771
90	0.2132645123
91	0.2131612708
92	0.2130470454
93	0.2129543042
94	0.2128911584
95	0.2127984256
96	0.2127155757
97	0.2126352237
98	0.2125430053
99	0.2124452828
100	0.2123837884
101	0.2123116547
102	0.2122277308
103	0.2121514429
104	0.2120719456
105	0.2120271375
106	0.2119632828
107	0.2118837347
108	0.2118254892
109	0.2117228073
110	0.2116236338
111	0.2115298855
112	0.2114489794
113	0.2113905051
114	0.2113028847
115	0.2112325584
116	0.2111819235
117	0.2111203585
118	0.211063465
119	0.2109925535
120	0.2109288255
121	0.2108661021
122	0.2108129611
123	0.2107457357
124	0.2106832766
125	0.2106417157
126	0.2106041854
127	0.2105514828
128	0.2105045683
129	0.2104429235
130	0.2103738809
131	0.210297405
132	0.2102475993
133	0.2102086437
134	0.2101667573
135	0.2101150711
136	0.2100355514
137	0.2099880624
138	0.209936541
139	0.2098898656
140	0.2098452241
141	0.2097822504
142	0.2097456043
143	0.2096912094
144	0.2096379106
145	0.2096172963
146	0.2095898341
147	0.2095639792
148	0.2095097783
149	0.2094754047
150	0.2094406879
151	0.2093927522
152	0.2093610796
153	0.2093253663
154	0.2092882991
155	0.2092299967
156	0.2091859492
157	0.2091509084
158	0.2091028324
159	0.2090571327
160	0.2090162609
161	0.2089888725
162	0.208952664
163	0.2089192508
164	0.208890833
165	0.2088652973
166	0.2088168983
167	0.2088003937
168	0.2087602184
169	0.2087363623
170	0.2086940644
171	0.2086579435
172	0.2086095695
173	0.2085848575
174	0.2085566998
175	0.2085167877
176	0.2084753337
177	0.2084063417
178	0.2083857601
179	0.2083500408
180	0.208321446
181	0.2082780916
182	0.2082343218
183	0.2082032059
184	0.2081711634
185	0.2081531068
186	0.2081114681
187	0.2080730681
188	0.2080606114
189	0.208045034
190	0.2080225199
191	0.2079969785
192	0.2079634132
193	0.2079285195
194	0.2079011496
195	0.2078632389
196	0.2078216655
197	0.2077968049
198	0.2077586571
199	0.2077404151
200	0.2077272665
201	0.2077042481
202	0.2076619193
203	0.2076175596
204	0.207577398
205	0.2075587176
206	0.207530888
207	0.2074970058
208	0.2074672037
209	0.2074503862
210	0.2074208153
211	0.207403492
212	0.2073707812
213	0.2073559078
214	0.2073310295
215	0.2073111738
216	0.2072573782
217	0.2072288286
218	0.2072089757
219	0.2071687335
220	0.2071520449
221	0.2071237045
222	0.2070847811
223	0.2070495077
224	0.2070178207
225	0.2069905817
226	0.2069645963
227	0.2069407426
228	0.2069254785
229	0.2068915939
230	0.2068522312
231	0.2068284957
232	0.2068120933
233	0.2067658025
234	0.2067471779
235	0.2067324077
236	0.2067119109
237	0.2066941556
238	0.2066675313
239	0.206643703
240	0.2066239224
241	0.2066075121
242	0.2065908142
243	0.206561895
244	0.2065357903
245	0.2065141472
246	0.206484187
247	0.206461915
248	0.2064318913
249	0.2064083793
250	0.2063829423
251	0.2063630893
252	0.2063436976
253	0.2063102144
254	0.2062810268
255	0.2062458004
256	0.2062233783
257	0.2061981091
258	0.2061735237
259	0.2061480201
260	0.2061250949
261	0.2060876921
262	0.206071129
263	0.2060309748
264	0.2060138442
265	0.2059953104
266	0.2059793119
267	0.2059681424
268	0.2059348572
269	0.2059196443
270	0.2058983133
271	0.205867277
272	0.205841565
273	0.2058249216
274	0.20580068
275	0.2057885925
276	0.2057743602
277	0.2057487934
278	0.2057306663
279	0.205702134
280	0.2056952108
281	0.2056792017
282	0.2056560592
283	0.2056419172
284	0.2056187084
285	0.205596882
286	0.2055740367
287	0.2055611208
288	0.2055385545
289	0.2055280206
290	0.205505122
291	0.2054897693
292	0.205465233
293	0.2054452558
294	0.2054212943
295	0.2054049186
296	0.2053701859
297	0.2053423752
298	0.2053299565
299	0.2053029156
300	0.2052661734
301	0.2052397599
302	0.2052164328
303	0.2051937627
304	0.2051663614
305	0.2051438759
306	0.2051216073
307	0.2051076064
308	0.2050820481
309	0.2050592395
310	0.2050510987
311	0.2050277358
312	0.2050099689
313	0.2050042065
314	0.2049948204
315	0.2049772055
316	0.2049576281
317	0.2049372627
318	0.204915046
319	0.2049047079
320	0.2048871461
321	0.2048515817
322	0.2048256192
323	0.2048027843
324	0.2047775523
325	0.2047548262
326	0.2047387076
327	0.204715809
328	0.204704641
329	0.2046798616
330	0.2046560687
331	0.2046232062
332	0.2046013245
333	0.2045723977
334	0.2045617047
335	0.2045393518
336	0.2045144147
337	0.2044990483
338	0.2044869002
339	0.2044650713
340	0.2044468557
341	0.204421215
342	0.2044135657
343	0.2043859899
344	0.2043614115
345	0.2043379226
346	0.2043127039
347	0.2042933317
348	0.2042764112
349	0.2042652062
350	0.2042473513
351	0.2042277819
352	0.2042081964
353	0.2041799948
354	0.2041598291
355	0.204132328
356	0.2041180658
357	0.2041074344
358	0.2040829435
359	0.2040620318
360	0.2040485974
361	0.2040235159
362	0.2039984097
363	0.2039762766
364	0.2039597592
365	0.2039462347
366	0.2039299283
367	0.2039058282
368	0.2038953651
369	0.2038708629
370	0.2038455867
371	0.2038285709
372	0.2038171673
373	0.2038066159
374	0.2037866976
375	0.2037719106
