iter	Passed	Remaining
0	68	20524
1	75	11244
2	82	8121
3	87	6494
4	93	5513
5	98	4829
6	103	4349
7	109	3981
8	114	3686
9	118	3450
10	123	3257
11	128	3093
12	133	2955
13	138	2837
14	143	2732
15	148	2641
16	153	2557
17	158	2484
18	163	2420
19	168	2359
20	173	2304
21	178	2255
22	183	2208
23	188	2166
24	193	2128
25	198	2091
26	203	2056
27	208	2022
28	213	1991
29	218	1963
30	223	1937
31	227	1909
32	232	1884
33	237	1860
34	242	1839
35	248	1818
36	251	1789
37	256	1769
38	261	1751
39	266	1732
40	271	1715
41	276	1697
42	281	1679
43	285	1663
44	290	1646
45	295	1630
46	300	1616
47	305	1601
48	310	1588
49	315	1575
50	319	1562
51	325	1550
52	330	1538
53	335	1526
54	340	1514
55	345	1503
56	350	1492
57	355	1481
58	359	1469
59	364	1459
60	369	1448
61	374	1437
62	379	1427
63	384	1416
64	388	1406
65	393	1396
66	398	1386
67	403	1377
68	408	1367
69	413	1358
70	418	1348
71	422	1339
72	427	1330
73	432	1321
74	437	1313
75	442	1304
76	447	1296
77	452	1288
78	457	1279
79	462	1271
80	467	1262
81	471	1254
82	476	1246
83	481	1238
84	486	1230
85	491	1222
86	496	1214
87	500	1206
88	505	1198
89	510	1190
90	515	1183
91	520	1176
92	525	1169
93	530	1161
94	534	1154
95	539	1146
96	544	1139
97	549	1132
98	554	1124
99	559	1118
100	563	1110
101	568	1104
102	574	1098
103	578	1090
104	583	1083
105	588	1076
106	592	1069
107	597	1062
108	602	1055
109	607	1048
110	612	1042
111	616	1034
112	621	1028
113	626	1022
114	631	1015
115	635	1008
116	640	1002
117	645	995
118	650	988
119	654	982
120	659	975
121	664	968
122	668	962
123	673	955
124	677	949
125	682	942
126	687	936
127	692	930
128	697	924
129	702	918
130	707	912
131	712	906
132	716	899
133	721	893
134	726	887
135	730	881
136	735	875
137	739	868
138	744	862
139	749	856
140	754	850
141	759	844
142	763	838
143	768	832
144	773	826
145	778	820
146	783	815
147	788	809
148	792	803
149	797	797
150	802	791
151	807	786
152	812	780
153	817	775
154	822	769
155	827	763
156	832	758
157	837	752
158	841	746
159	846	740
160	850	734
161	855	728
162	858	721
163	863	716
164	868	710
165	873	704
166	877	698
167	882	693
168	886	687
169	891	681
170	896	676
171	901	670
172	906	665
173	911	660
174	916	654
175	920	648
176	925	643
177	930	637
178	935	632
179	940	627
180	945	621
181	950	616
182	955	610
183	960	605
184	965	600
185	970	594
186	975	589
187	980	583
188	985	578
189	989	573
190	994	567
191	999	562
192	1004	556
193	1008	551
194	1014	546
195	1019	540
196	1023	535
197	1028	529
198	1033	524
199	1038	519
200	1043	513
201	1048	508
202	1053	503
203	1057	497
204	1062	492
205	1067	487
206	1072	481
207	1077	476
208	1081	470
209	1086	465
210	1090	460
211	1095	454
212	1099	449
213	1104	444
214	1109	438
215	1114	433
216	1119	428
217	1123	422
218	1128	417
219	1133	412
220	1138	406
221	1142	401
222	1147	396
223	1152	391
224	1157	385
225	1161	380
226	1166	375
227	1171	370
228	1176	364
229	1181	359
230	1185	354
231	1190	348
232	1195	343
233	1200	338
234	1205	333
235	1209	328
236	1214	322
237	1219	317
238	1224	312
239	1229	307
240	1233	302
241	1238	296
242	1243	291
243	1248	286
244	1253	281
245	1257	276
246	1262	270
247	1267	265
248	1271	260
249	1276	255
250	1281	250
251	1286	245
252	1291	239
253	1296	234
254	1300	229
255	1305	224
256	1310	219
257	1314	214
258	1319	208
259	1324	203
260	1329	198
261	1333	193
262	1338	188
263	1343	183
264	1348	178
265	1353	172
266	1357	167
267	1362	162
268	1367	157
269	1371	152
270	1376	147
271	1381	142
272	1386	137
273	1391	132
274	1395	126
275	1400	121
276	1405	116
277	1410	111
278	1414	106
279	1419	101
280	1424	96
281	1428	91
282	1433	86
283	1438	81
284	1443	75
285	1448	70
286	1453	65
287	1457	60
288	1462	55
289	1467	50
290	1472	45
291	1477	40
292	1482	35
293	1486	30
294	1491	25
295	1496	20
296	1501	15
297	1505	10
298	1510	5
299	1515	0
